Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
12015001-12016000,16,,,,,,,,,,,,,,,,,,,,,,,
12016001-12017000,7,,,,,,,,,,,,,,,,,,,,,,,
12017001-12018000,20,,,,,,,,,,,,,,,,,,,,,,,
12018001-12019000,18,,,,,,,,,,,,,,,,,,,,,,,
12019001-12020000,20,,,,,,,,,,,,,,,,,,,,,,,
12020001-12021000,6,,,,,,,,,,,,,,,,,,,,,,,
12021001-12022000,6,,,,,,,,,,,,,,,,,,,,,,,
12022001-12023000,11,,,,,,,,,,,,,,,,,,,,,,,
12023001-12024000,14,,,,,,,,,,,,,,,,,,,,,,,
12024001-12025000,8,,,,,,,,,,,,,,,,,,,,,,,
12025001-12026000,14,,,,,,,,,,,,,,,,,,,,,,,
13001001-13002000,3,,,,,,,,,,,,,,,,,,,,,,,
13002001-13003000,68,,,,,,,,,,,,,,,,,,,,,,,
13003001-13004000,31,,,,,,,,,,,,,,,,,,,,,,,
13004001-13005000,85,,,,,,,,,,,,,,,,,,,,,,,
13005001-13006000,21,,,,,,,,,,,,,,,,,,,,,,,
13006001-13007000,28,,,,,,,,,,,,,,,,,,,,,,,
13007001-13008000,61,,,,,,,,,,,,,,,,,,,,,,,
13008001-13009000,54,,,,,,,,,,,,,,,,,,,,,,,
13009001-13010000,31,,,,,,,,,,,,,,,,,,,,,,,
13010001-13011000,1,,,,,,,,,,,,,,,,,,,,,,,
13011001-13012000,37,,,,,,,,,,,,,,,,,,,,,,,
13012001-13013000,21,,,,,,,,,,,,,,,,,,,,,,,
13013001-13014000,2,,,,,,,,,,,,,,,,,,,,,,,
13014001-13015000,1,,,,,,,,,,,,,,,,,,,,,,,
13015001-13016000,20,,,,,,,,,,,,,,,,,,,,,,,
13016001-13017000,5,,,,,,,,,,,,,,,,,,,,,,,
13017001-13018000,1,,,,,,,,,,,,,,,,,,,,,,,
13018001-13019000,3,,,,,,,,,,,,,,,,,,,,,,,
13019001-13020000,2,,,,,,,,,,,,,,,,,,,,,,,
13020001-13021000,4,,,,,,,,,,,,,,,,,,,,,,,
13021001-13022000,2,,,,,,,,,,,,,,,,,,,,,,,
13022001-13023000,4,,,,,,,,,,,,,,,,,,,,,,,
13023001-13024000,9,,,,,,,,,,,,,,,,,,,,,,,
13024001-13025000,18,,,,,,,,,,,,,,,,,,,,,,,
13025001-13026000,12,,,,,,,,,,,,,,,,,,,,,,,
13026001-13027000,11,,,,,,,,,,,,,,,,,,,,,,,
13027001-13028000,18,,,,,,,,,,,,,,,,,,,,,,,
13028001-13029000,5,,,,,,,,,,,,,,,,,,,,,,,
13029001-13030000,5,,,,,,,,,,,,,,,,,,,,,,,
13032001-13033000,1,,,,,,,,,,,,,,,,,,,,,,,
14001001-14002000,1,,,,,,,,,,,,,,,,,,,,,,,
14002001-14003000,6,,,,,,,,,,,,,,,,,,,,,,,
14003001-14004000,5,,,,,,,,,,,,,,,,,,,,,,,
14004001-14005000,5,,,,,,,,,,,,,,,,,,,,,,,
14006001-14007000,3,,,,,,,,,,,,,,,,,,,,,,,
14007001-14008000,1,,,,,,,,,,,,,,,,,,,,,,,
14008001-14009000,2,,,,,,,,,,,,,,,,,,,,,,,
14009001-14010000,4,,,,,,,,,,,,,,,,,,,,,,,
14010001-14011000,1,,,,,,,,,,,,,,,,,,,,,,,
14011001-14012000,3,,,,,,,,,,,,,,,,,,,,,,,
14012001-14013000,2,,,,,,,,,,,,,,,,,,,,,,,
14013001-14014000,3,,,,,,,,,,,,,,,,,,,,,,,
14014001-14015000,2,,,,,,,,,,,,,,,,,,,,,,,
14015001-14016000,1,,,,,,,,,,,,,,,,,,,,,,,
14016001-14017000,5,,,,,,,,,,,,,,,,,,,,,,,
14017001-14018000,6,,,,,,,,,,,,,,,,,,,,,,,
14019001-14020000,2,,,,,,,,,,,,,,,,,,,,,,,
14020001-14021000,6,,,,,,,,,,,,,,,,,,,,,,,
14021001-14022000,1,,,,,,,,,,,,,,,,,,,,,,,
14022001-14023000,3,,,,,,,,,,,,,,,,,,,,,,,
14023001-14024000,2,,,,,,,,,,,,,,,,,,,,,,,
14024001-14025000,4,,,,,,,,,,,,,,,,,,,,,,,
14025001-14026000,1,,,,,,,,,,,,,,,,,,,,,,,
14026001-14027000,6,,,,,,,,,,,,,,,,,,,,,,,
14027001-14028000,1,,,,,,,,,,,,,,,,,,,,,,,
14028001-14029000,5,,,,,,,,,,,,,,,,,,,,,,,
14029001-14030000,3,,,,,,,,,,,,,,,,,,,,,,,
14030001-14031000,3,,,,,,,,,,,,,,,,,,,,,,,
14031001-14032000,5,,,,,,,,,,,,,,,,,,,,,,,
14032001-14033000,1,,,,,,,,,,,,,,,,,,,,,,,
14033001-14034000,2,,,,,,,,,,,,,,,,,,,,,,,
14034001-14035000,3,,,,,,,,,,,,,,,,,,,,,,,
